title,release_year,production_company,distributor,director,writer,actor_1,actor_2,actor_3,location_funfact,movie_like_counter,location_like_counter
Venom,2018,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed,"{""Washington Square Park - Filbert St at Stockton St"": """", ""Grant Ave btwn Washington and Jackson"": """", ""Financial District"": """", ""Grant Ave at Green St"": """", ""Grant Ave btwn Clay and Jackson"": """", ""Stockton Tunnel btwn Sutter and Sacramento"": ""Motorcycle/SUV chase scene"", ""Larkin St btwn Post and Geary"": """", ""California St at Montgomery St"": """", ""Hyde St at Chestnut St"": """", ""Huntington Park, Pine/Kearny, Bush/Hyde"": """", ""O'Farrell between Leavenworth and Jones"": """", ""Epic Steakhouse, 369 Embarcadero"": """", ""Taylor St Hill btwn Pacific and Greenwich"": """", ""Embarcadero at Harrison St"": """", ""Geary St at Leavenworth St"": """", ""Romolo St and Fresno Pl"": """", ""Potrero Hill: Rhode Island btwn 15th and 16th"": """", ""North Beach: Kearny/Vallejo, Kearny/Broadway, Broadway/Columbus"": ""Motorcycle/SUV chase scene"", ""Grant Ave btwn Pine and Jackson"": ""Motorcycle/SUV chase scene"", ""California St btwn Drumm and Sansome"": ""Motorcycle/SUV chase scene"", ""Embarcadero btwn Folsom and Bryant"": ""Motorcycle/SUV chase scene"", ""Hemlock Alley btwn Polk and Larkin"": """", ""Montgomery St and Vallejo St"": """", ""Edinburgh Castle (950 Geary Street)"": """", ""Grant Ave btwn California and Clay"": """", ""Kearny Steps/btwn Green and Pacific"": ""Motorcycle stunt scene""}",0,0
Sister Act 2: Back in the Habit,1993,Touchstone Pictures,Buena Vista Pictures,Bill Duke,Joseph Howard,Whoopi Goldberg,Maggie Smith,,"{""CCSF Alemany Campus"": """", ""St. Peter & Paul's Church (666 Filbert Street, Washington Square)"": ""Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials."", ""Maritime Museum, Building 201 (Fort Mason)"": """", ""Coit Tower"": ""The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way."", ""CCSF Alemany Campus "": """", ""Carnelian Room, Bank of America Building (555 California Street, 53rd Floor)"": ""The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.""}",0,0
Casualties of War,1989,Columbia Pictures Corporation,Columbia Pictures,Brian DePalma,Daniel Lang,Michael J. Fox,Sean Penn,,"{""Mission Dolores Park (Mission District) via J-Church MUNI Train"": ""The two land plots that comprise the Park were used as a Jewish cemetery until 1894 when San Francisco prohibited all burials within city limits. The graves were moved to Colma, CA.""}",0,0
Memoirs of an Invisible Man,1992,Warner Bros. Pictures,Warner Bros. Pictures,John Carpenter,Robert Collector,Chevy Chase,Daryl Hannah,Sam Neill,"{""St. Elizabeth Apartment House (901 Powell Street at Sacramento)"": """"}",0,0
Looking Season 2 ep 202,2015,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,"{""314 11th Street"": """", ""1400 16th Street"": """", ""1246 Folsom Street"": """", ""Eddy @ Polk Street"": """", ""100 Church Street"": ""Jake Shears, lead singer of the band Scissor Sisters, auditioned for the role of Dom."", ""901 Valencia Street"": """", ""651 Brannan Street"": """", ""Church @ Duboce Street"": """", ""770 Haight Street"": ""This home was also used in MILK, Big Sur and Diary of a Teenage Girl"", ""601 Buena Vista Ave West"": """"}",0,0
San Andreas,2015,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb,Dwayne Johnson,,,"{""Hyde St. at Greenwich and Hyde St. at Lombard"": ""Characters walk to get a vantage point for Coit tower. 250 actors walking \""fleeing\"" the city after earthquake"", ""Grant between Bush and Market"": """", ""AT&T Stadium"": ""3 characters run out of stadium, there is a group of people on the sidewalk, an earthquake hits, and they duck for cover"", ""2nd St. at Townsend St."": """", ""Jefferson St. at Powell St."": """", ""Grant St. at Bush St."": ""Characters walk down street and it's totally wrecked from a massive earthquake"", ""Vallejo Garage Roof (Vallejo at Powell)"": """", ""Clay St. at Taylor"": ""3 characters walk down the street. An earthquake shakes the city and stuff starts breaking. One character gets a shard of glass stuck in his leg."", ""Bay St. at Polk"": """", ""Intersection of Lombard and Hyde"": """", ""Mission between 3rd and 4th St."": """", ""555 California"": ""Characters walk out of broken window of 555 California out to Kearny St. Splinter unit films a car driving into the garage at 555 California"", ""Broadway and Kearney"": """", ""Coit Tower"": """", ""TransAmerica Pyramid (600 Montgomery Street)"": """", ""Washington Square"": """", ""Battery Spencer"": """", ""Pier 43"": ""Bystanders watch as a tsunami crashes over them"", ""Vallejo St. Garage, 766 Vallejo St."": ""Characters watch from roof of garage as tsunami hits SF waterfront"", ""Fort Baker"": """", ""Water work in SF Bay"": ""Characters drive in a high speed picture boat to see different views of the city."", ""Stage Work, 47 Julian St."": """", ""Asia Star Fantasy, 1126 Grant Ave."": ""Characters look for a form of communication with LA in a post-quake trashed city""}",0,0
The Caine Mutiny,1954,Stanley Kramer Productions,Columbia Pictures,Edward Dmytryk,Stanley Roberts,Humphrey Bogart,Fred MacMurray,Jose Ferrer,"{""Golden Gate Bridge"": ""With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937."", ""The Embarcadero"": """"}",0,0
Looking Season 2 ep 203,2015,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,"{""Balboa pool Lot, San Jose Avenue & Havelock St"": """", ""Mad Dog Bar, 530 Haight Street"": ""The character of Doris was originally a recurring role, but everyone on the team liked Lauren Weedman's performance so much that she became a full time regular during the second season."", ""Doc's Clock, 2575 Misison Street"": """", ""Mission Rec Center, 2450 Harrison Street"": """", ""770 Haight Street"": """", ""Willy's Barber shop, 3227 22nd Street"": """", ""Kezar Pavillion"": """", ""Boxer Stadium, 166 Havelock Street"": """"}",0,0
The Last Black Man in San Francisco,2019,"LBMISF, LLC",A36,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,"{""Market/Portola btwn O'Shaughnessy and Castro"": """", ""Forest Hill MUNI Station"": """", ""Buena Vista East btwn Duboce and Haight"": """", ""Haight and Belvedere"": """", ""Hotel Metropolis, 25 Mason St"": """", ""Folsom btwn Cortland and Eugenia Ave"": """", ""Eddy St btwn Leavenworth and Hyde St"": """", ""California St and Gough btwn Geary and Jones"": """", ""3rd St btwn Evans and Oakdale"": """", ""Innes and Arelious Walker"": """", ""801 Innes Ave"": ""Bus stop"", ""Nevada St btwn Cortland and Jarboe Ave"": """", ""Sunset Super, 2425 Irving St"": """", ""Portola Rose Garden, 598 Hamilton St at Woolsey St"": """", ""Innes turning into Evans Ave"": """", ""Illinois St btwn Marin and Amador"": """", ""Chateau Tivoli, 1057 Steiner St"": """", ""363 Lyon St"": """", ""Evans Ave/Hunters Pt Bvld btwn Keith and Hawes St"": """", ""900 Innes Ave"": ""Boat dock"", ""415 Lyon St/355 Lyon St"": """", ""Mission btwn 16th and Cesar Chavez"": """", ""959 South Van Ness Ave"": """", ""802 Steiner St"": """", ""Oakdale btwn 3rd and Bayshore"": """", ""Shotwell St btwn 20th and 21st St"": """", ""Donahue and Innes Ave"": """", ""Red Building, 2567 Mission St"": """", ""4704 3rd St"": """", ""911 Innes Ave"": ""Grandpa Allen's home"", ""Ford's Grocery Store, 1496 Oakdale Ave"": """", ""California Street Hill btwn Jones and Larkin"": """", ""Castro and Market"": """"}",0,0
Class Action,1991,Interscope Communications,Twentieth Century Fox Film Corp.,Michael Apted,Carolyn Shelby,Gene Hackman,Mary Elizabeth Mastrantonio,,"{""Mission Dolores (3321 16th Street, Mission District)"": ""Mission Dolores' official name is Mission San Francisco de Assis. It is the oldest building in San Francisco, built in 1791, and has survived two major earthquakes."", ""City Hall"": ""The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building."", ""Bix Restaurant (56 Gold Street)"": """"}",0,0
Common Threads: Stories From the Quilt,1989,Home Box Office (HBO),Direct Cinema Limited,Rob Epstein,Jeffrey Friedman,Sara Lewinstein,David Mandell,,"{""The Castro"": ""From 1910-1920 the Castro was called \""Little Scandinavia\"" because of its high concentration of residents of Scandinavian ancestry.""}",0,0
Copycat,1995,Regency Enterprises,Warner Bros. Pictures,Jon Amiel,Ann Biderman,Sigourney Weaver,Holly Hunter,,"{""Treasure Island"": ""An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident."", ""Twin Peaks"": ""The 2nd highest point in SF after Mt. Davidson, Twin Peaks sit at the geographic center of SF. The native Ohlone people called the area \u201cLos Pechos de la Chola\u201d or \""Breasts of the Indian Maiden,\"" but in the 19th Century when America took over the area, it was renamed \""Twin Peaks\""."", ""Sound Factory (1st and Harrison Streets)"": """", ""Java House (Pier 40, Embarcadero)"": """", ""Alta Plaza Park"": ""The park was originally a rock quarry and served as a campground for many survivors of the 1906 earthquake. The site was converted to a park in 1910."", ""82 & 67 Rico Way (Marina District)"": """"}",0,0
Steve Jobs,2015,RDF Productions LLC,Universal Pictures,Danny Boyle,Aaron Sorkin,Michael Fassbender,Kate Winslet,Seth Rogen,"{""21st and Collingswood St."": """", ""Mission St and 5th St"": """", ""War Memorial Opera House (401 Van Ness Avenue)"": """", ""Davies Symphony Hall (201 Van Ness Ave.)"": """", ""Sutter-Stockton Garage (444  Stockton)"": """", ""California St. from Jones St. to Mason St."": """", ""Powell St. from California St. to Sutter St."": """", ""Jackson St. from Mason St. to Powell St."": """", ""Intersection of Columbus and Kearny"": """", ""Intersection of Clay St. and Walter U Lum Plc"": """", ""Castro St. between 21st an Hill St"": """", ""21st and Sanchez St"": """"}",0,0
Interview With The Vampire,1994,Geffen Pictures,Geffen Pictures,Neil Jordan,Anne Rice,Brad Pitt,Christian Slater,Tom Cruise,"{""Golden Gate Bridge"": ""With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937."", ""6th Street On-ramp to Highway 280"": """", ""Ferry Building"": ""Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters."", ""100 Market Street at 6th Street"": """"}",0,0
"Murder in the First, Season 2",2015,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,"{""901 Missouri Street"": """", ""1400 16th Street"": """", ""Embarcadero Street at Washington Street"": """", ""372/374 Pennsylvania Avenue"": """", ""Stevenson Alley"": """", ""Pennsylvania Avenue at 19th Street"": """", ""Boardman Place between Bryant and Brannan Streets"": """", ""Treasure Island"": """", ""Columbus Avenue between Washington and Bay Streets"": """", ""1059 Texas Street"": """", ""435 Broadway"": """", ""Harriet Street between Bryant and Brannan Streets"": """", ""Sue Bierman Park"": """", ""372/374 Pennsylvania Avenue "": """", ""1243 19th Street"": """", ""Grant Avenue between Clay and Washington Streets"": """", ""Pier 50"": """", ""Potrero Hill Recreation Center (801 Arkansas Street)"": """", ""83 Watchman Way"": """"}",0,0
Playing Mona Lisa,2000,The Bubble Factory,Buena Vista Pictures,Matthew Huffman,Marni Freedman,Alicia Witt,Harvey Fierstein,,"{""Conservatory of Flowers (Golden Gate Park)"": ""The Conservatory, unveiled in 1879, is the oldest public conservatory in the Western Hemisphere.""}",0,0
Tales of the City,2019,Universal Television LLC,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett,"{""Valencia btwn Liberty and 21st St"": """", ""Hotel Jefferson, 440 Eddy St"": """", ""766 Vallejo St"": """", ""Macondray Ln and Taylor btwn Union and Green"": """", ""Valencia btwn 16th and 17th St"": """", ""Market and Church St"": """", ""Castro and 18th St"": """", ""City Lights Books, 261 Columbus Ave"": """", ""Dolores Park"": """", ""Lyon and Broadway"": """", ""Clarion Alley"": """", ""Montgomery and Vallejo"": """", ""Hyde St and Lombard St to Larkin and Lombard"": """", ""North Beach"": """", ""Market and Noe St"": """", ""Grant and Green St"": """", ""Green btwn Jasper and Bannam"": """", ""Castro District"": """", ""Mission District"": """"}",0,0
Quitters,2015,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,"{""Clement St. from 6th to 7th Ave."": """", ""Claire Lilienthal Elementary School"": """", ""1536 Noe St."": """", ""24 Hill St."": """", ""21st St & Sanchez"": """", ""4015 21st St"": """", ""Tank Hill Park"": """", ""Clement St. from 6th to 7th Ave. "": """", ""Wine Impression"": """", ""Clement St. from 5th and 7th Ave. "": """", ""Yerba Buena Gardens"": """", ""Tonga Room"": """", ""Cal-Mart Supermarket"": """", ""McLaren Lodge"": """", ""Bechelli's Flower Market Caf\u00e9"": """", ""923 Vermont St."": """", ""Geary from 22nd Ave to Arguello"": """", ""Clement St. from 5th and 7th Ave."": """"}",0,0
The Rock,1996,Hollywood Pictures,Buena Vista Pictures,Michael Bay,David Weisberg,Sean Connery,Nicolas Cage,,"{""Coit Tower"": ""The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way."", ""Palace of Fine Arts (3301 Lyon Street)"": ""The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965."", ""Alcatraz Island"": ""Alcatraz Island was a military fort before it became a prison."", ""The San Francisco Bay"": """", ""New Russian Hill Market (1198 Pacific Avenue at Jones)"": """", ""Fairmont Hotel (950 Mason Street, Nob Hill)"": ""In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room."", ""City Hall"": ""The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.""}",0,0
Twisted,2004,Paramount Pictures,Paramount Pictures,Philip Kaufman,Sarah Thorp,Ashley Judd,Samuel L. Jackson,,"{""McCovey Point, China Basin Park (24 Willy Mays Plaza)"": """", ""Vesuvio Caf\u00e9 (255 Columbus Avenue)"": ""Jack Kerouac was a regular at the caf\u00e9."", ""Red's Java House (Pier 30-32, The Embarcadero)"": """", ""Piers 30-32"": """", ""Pier 39"": """", ""Pier 24"": """", ""Mojito (1337-1339 Grant Avenue)"": """", ""La Bodega (1332 Grant Avenue at Vallejo)"": """", ""The Saloon (1232 Grant Avenue)"": """", ""Veterans' War Memorial Building (401 Van Ness Avenue)"": """"}",0,0
Looking Season 2 ep 209,2015,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,"{""Muddy Waters, 521 Valencia Street"": """", ""68 Division Street"": """", ""Tonga Room, Fairmont Hotel, 950 Mason Street"": """", ""1890 Clay Street"": """", ""1246 Folsom Street"": """", ""Mission Arts Center, 2450 Harrison Street"": """", ""8 Octavia Street"": """", ""SF Zoo, 2945 Sloat Blvd"": """"}",0,0
Pal Joey,1957,Columbia Pictures Corporation,Columbia Pictures,George Sidney,Dorothy Kingsley,Rita Hayworth,Frank Sinatra,Kim Novak,"{""Coit Tower"": ""The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way."", ""Barbary Coast"": ""The Barbary Coast was a red-light district that was largely destroyed in the 1906 earthquake. Though some of the establishments were rebuilt after the earthquake, an anti-vice campaign put the establishments out of business."", ""Spreckels Mansion (2080 Washington Street, Pacific Heights)"": """"}",0,0
Invasion of the Body Snatchers,1978,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams,"{""Ramada Plaza Hotel Downtown (1231 Market Street, Civic Center)"": """", ""United Nations Plaza (Civic Center)"": ""United Nations Plaza was built in 1975 and across its walkways are white lines into which the preamble to the preamble of the UN charter is carved."", ""San Francisco Drydock (20th and Illinois Streets)"": """", ""1227 Montgomery Street (Telegraph Hill)"": """", ""Hamlin Hotel (385 Eddy Street)"": """", ""Pier 33 (Embarcadero)"": """", ""City Hall"": ""The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building."", ""Transamerica Building (600 Montgomery Street at Clay)"": ""The Pyramid was the tallest skyscraper west of the Mississippi from 1972-1974, until it was surpassed by Los Angeles' Aon Center."", ""Chinatown"": ""First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US."", ""Bimbo's 365 Club (1025 Columbus Avenue, North Beach)"": """", ""Department of Public Health (101 Grove Street at Polk, Civic Center)"": """", ""Postcard Row (Alamo Square, Hayes Valley)"": ""The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire."", ""720 Steiner Street (Hayes Valley)"": """", ""32 Napier Lane"": """", ""Lafayette Park (Pacific Heights)"": """", ""Broadway Tunnel (Russian Hill)"": """"}",0,0
The Net,1995,Columbia Pictures Corp.,Columbia Pictures,Irwin Winkler,John Brancato,Sandra Bullock,Jeremy Northam,,"{""Moscone Convention Center"": """", ""Montgomery & Market Streets"": """"}",0,0
I Am Michael,2015,That’s Hollywood,,Justin Kelly,Justin Kelly,James Franco,Emma Roberts,Zachary Quinto,"{""Harvey Milk Plaza"": """", ""Sanchez/Cumberland steps and sidewalks"": """", ""Flint & 16th (Castro)"": """", ""Grove & Polk, thru Fulton & 6th, Masonic, 28th & 47th"": """", ""Ocean Beach @ Balboa"": """", ""4100 20th St"": """", ""F Train"": """"}",0,0
Alcatraz,2012,Bonanza Productions Inc.,Warner Bros. Television,J.J. Abrams,Steven Lilien,Sarah Jones,Jorge Garcia,,"{""Leavenworth from Filbert & Francisco St"": """", ""Filbert St. from Jones to Mason"": """", ""Broadway from Mason to Taylor"": """", ""Francisco St from Larkin to Polk"": """", ""Taylor St. from Broadway to Filbert"": """", ""Chestnut St. from Larkin to Columbus"": """"}",0,0
Dawn of the Planet of the Apes,2014,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Matt Reeves,Rick Jaffa,Gary Oldman,Keri Russell,Andy Serkis,"{""University Club"": """", ""Filbert St. from Hyde to Leavenworth"": """", ""California St from Mason to Kearny"": """", ""City Hall"": """", ""Alioto Park"": """", ""California & Powell "": """", ""Columbus & Pacific Ave"": """", ""California & Powell"": """"}",0,0
Looking Season 2 ep 205,2015,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,"{""745 Treat Ave"": """", ""24th Between Portrero & Alabama"": """", ""Always Open Car Wash, 2560 Marin Street"": """", ""1119 Alabama Street"": """", ""534 Hyde Street"": """", ""160 Church Street"": """"}",0,0
Swing,2003,unlisted,Crazy Dreams Entertainment,Martin Guigui,Mary Keil,Constance Brenneman,,,"{""Broadway Studios (435 Broadway at Montgomery Street)"": """", ""Regency Building (1290 Sutter Street)"": """"}",0,0
Star Trek IV: The Voyage Home,1986,Paramount Pictures,Paramount Pictures,Leonard Nimoy,Steve Meerson,William Shatner,Leonard Nimoy,George Takei,"{""Marina Green, Marina District"": ""Before the 1906 earthquake, the land on which Marina Green sits was a tidal marsh, and rubble from the earthquake was dumped on the site. However, the site was filled in to provide land for the 1915 Panama-Pacific Exhibition. "", ""Golden Gate Park"": """", ""West Harbor, Marina District"": """", ""500 Block of Pacific Avenue (Chinatown)"": """", ""Kearny & Pacific Streets"": """", ""North Beach"": """", ""Bessie Charmichael Elementary School (375 Seventh Street, SOMA)"": """", ""Intersection of Columbus & Mason Streets"": """", ""Intersection of Grant & Fresno Streets (North Beach)"": """", ""Intersection of Columbus & Kearney Streets"": """", ""Golden Gate Bridge"": ""With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.""}",0,0
Looking Season 2 ep 204,2015,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,"{""3650 21st Street"": """", ""970 Geary Street"": """", ""1890 Clay Street"": """", ""Larken Street Youth Services, 1138 Sutter Street"": """", ""Bi-Rite Creamery, 3692 18th Stret"": """", ""Dolores Park, San Francisco"": ""Russell Tovey originally auditioned for the role of Patrick, but was unsuccessful. After the show got picked up, the character of Kevin was written with him in mind."", ""Esta Noche, 3079 16th Street"": """", ""601 Buena Vista Ave West"": """", ""Urban Flowers, 4029 18th Street"": """", ""Castro Street @ 18th street"": """", ""534 Hyde Street"": """", ""Daniel's Pharmacy, 943 Geneva Ave."": """"}",0,0
Cherish,2002,3 Ring Circus Films,Fine Line Features,Finn Taylor,Finn Taylor,Brad Hunt,Robin Tunney,,"{""387 Fair Oaks at 25th Street"": """"}",0,0
D.O.A,1950,Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse,Edmond O'Brien,Pamela Britton,Luther Adler,"{""Union Square"": ""During the Civil War, pro-Union rallies were held in the Square, and thus the area was called \""Union Square\"". "", ""Southern Pacific Memorial Hospital (1400 Fell Street)"": """", ""Powell & California Streets"": """", ""Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle)"": ""The Top of the Mark lounge and restaurant at the top of the hotel was formerly a penthouse suite."", ""Westin St. Francis Hotel (335 Powell Street)"": ""The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels."", ""The Embarcadero/ Ferry Building"": ""Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters."", ""Market & Steuart Streets (Financial District)"": """", ""Market Street (from 6th- 4th Streets)"": """", ""Chambord Apartments (1298 Sacramento Street at Jones)"": """"}",0,0
"Looking ""Special""",2016,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,"{""Point Lobos Avenue"": """", ""San Francisco City Hall"": """", ""Van Ness and Market Street MUNI exit"": ""The character of Doris was originally a recurring role, but everyone on the team liked Lauren Weedman's performance so much that she became a full time regular during the second season."", ""The Stud, 399 9th Street"": """", ""Castro Street between 17th & 18th"": """", ""10th Street between Market & Mission "": """", ""Orphan Andy's, 3991 17th Street"": """", ""1246 Folsom Street"": """", ""Li Po Lounge, 916 Grant Avenue"": ""Li Po Cocktail Lounge was one of the Top 10 Dive Bars in San Francisco in 2011 by SF Weekly"", ""Capital Restaurant, 839 Clay Street"": ""Russell Tovey originally auditioned for the role of Patrick, but was unsuccessful. After the show got picked up, the character of Kevin was written with him in mind."", ""The End Up, 401 6th Streeet"": """", ""Bernal Heights Neighborhood"": ""Jake Shears, lead singer of the band Scissor Sisters, auditioned for the role of Dom."", ""Fisherman's Wharf"": """", ""1080 Natoma Street"": """", ""Encore Karaoke, 1550 California Street"": """", ""Philz Coffee, 1258 Minnesota Street"": """", ""3079 16th Street"": """", ""17th & Market Street"": """", ""Grant Avenue between Sacramento and Washington"": """", ""10th Street between Market & Mission"": """"}",0,0
Ant-Man and the Wasp,2018,"PYM Particles Productions II, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas,"{""Little Embarcadero btwn Powell and Mason"": """", ""Telegraph Hill/North Beach"": ""VFX and B-roll Shots"", ""Missouri St at 18th St"": ""VFX Plate Shots, chase scene"", ""Powell St btwn North Point and Embarcadero"": ""Location of film headquarters"", ""Vallejo St btwn Montgomery and Davis"": ""Stunt scene involving weaving car"", ""Westar Marine Services, Pier 50"": """", ""Lombard St btwn Polk and Leavenworth"": ""Stunt driving scene"", ""490 Geary St"": ""VFX Plate Shots"", ""Financial District"": ""VFX and B-roll Shots"", ""Pier 27"": """", ""Montgomery btwn Green and Pacific"": ""Stunt scene involving weaving car"", ""Java St"": ""VFX Plate Shots"", ""544 Jones"": ""VFX Plate Shots"", ""California St btwn Mason and Leavenworth"": ""Stunt scene involving car flip"", ""Bush St at Mason St"": ""VFX Plate Shots"", ""Geary St - Hyde St - Ellis St"": """", ""Jefferson St at Taylor St"": """", ""Laguna St btwn Jackson and Broadway"": """", ""Russian Hill"": ""VFX and B-roll Shots"", ""Jones St btwn Green and Pacific"": ""Stunt scene involving car jump"", ""Leavenworth St at Lombard St"": """", ""Jones St btwn Sacramento and Pine"": ""Stunt scene involving car flip"", ""Saint Louis Alley at Jackson"": """", ""Montgomery btwn Broadway and Pacific"": ""Car stunt scene""}",0,0
Mission (aka City of Bars),2001,NA,NA,Loren Marsh,Loren Marsh,Chris Coburn,,,"{""The 500 Club (500 Guerrero Street, Mission District)"": """", ""Mission Dolores Park (Mission District)"": ""The two land plots that comprise the Park were used as a Jewish cemetery until 1894 when San Francisco prohibited all burials within city limits. The graves were moved to Colma, CA.""}",0,0
Sense8 - Season 2,2016,"Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews,"{""Julia Morgan Ballroom at the Merchant's Exchange Building, 465 California St."": ""An extremely popular location for weddings, the namesake of the ballroom was an architect most famous for her work on Hearst Castle."", ""Filbert between Hyde and Jones"": """", ""Billy Goat Hill, Castro St. & 30th St."": ""This park was the location of a popular swing with great views of the City."", ""Spofford between Washington and Clay"": """", ""Washington between Stockton and Kearny"": """", ""The Women's Building, 3543 18th St."": ""The mural painted outside the building was painted by 7 women artists including Juana Alicia, Miranda Bergman and Meera Desai. The computer lab scene was filmed inside the building."", ""Green between Kearny and Montgomery"": """", ""Marina Morrison Bridal, 30 Maiden Ln."": """", ""Westerfeld House, 1198 Fulton St."": ""In the 1940's, the house became a 14-unit apartment building that housed jazz musicians including John Handy. This location serves as the hideout for the San Francisco-based character Nomi."", ""City Lights Bookstore, 261 Columbus Ave."": ""Howl and Other Poems by Allen Ginsberg was published in 1956 by City Lights after poet and founder Laurence Ferlinghetti heard Ginsberg read it in 1955."", ""The Castro Theater, 429 Castro St."": ""The theater has an organ which is played before every film showing."", ""Montgomery between Green and Broadway"": """", ""Castle between Union and Green"": """", ""Grace Cathedral, 1100 California St."": ""Martin Luther King, Jr. gave a sermon at the cathedral to celebrate the completion and consecration of the church in 1964."", ""67-69 Deming St."": """", ""Mission Creek Harbor along Channel St."": """", ""Clay between Stockton and Grant"": """", ""Grant between Sacramento and Jack Kerouac Alley"": """", ""San Francisco City Hall, 1 Dr. Carlton B. Goodlett Pl."": ""Many films have shot scene in and around the building including Raiders of the Lost Ark, Invasion of the Body Snatchers, Dirty Harry, The Towering Inferno, A View to a Kill and most recently, Milk. The Christmas party scene for this show was shot in the Rotunda.""}",0,0
The Graduate,1967,Embassy Pictures Corporation,Embassy Pictures Corporation,Mike Nichols,Calder Willingham,Anne Bancroft,Dustin Hoffman,Katharine Ross,"{""San Francisco Zoo (2701 Sloat Blvd.)"": """", ""Bay Bridge"": ""Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugenio Pacelli, who later became Pope Pius XII.""}",0,0
